,Open,High,Low,Close,Volume
2021-01-14,620.5999755859375,674.4000244140625,603.7999877929688,660.5999755859375,2903600
2021-01-15,638.5999755859375,649.5999755859375,598.4000244140625,608.5999755859375,957280
2021-01-19,651.0,651.5999755859375,610.0,633.0,1000765
2021-01-20,631.2000122070312,659.5999755859375,615.2000122070312,640.5999755859375,637925
2021-01-21,650.0,678.0,632.4000244140625,665.4000244140625,696880
2021-01-22,662.2000122070312,689.0,646.0,685.5999755859375,645945
2021-01-25,704.2000122070312,777.4000244140625,643.02001953125,720.0,1581110
2021-01-26,746.4000244140625,880.5999755859375,731.7999877929688,841.0,2719910
2021-01-27,893.2000122070312,1188.5999755859375,802.7999877929688,927.0,3927010
2021-01-28,930.2000122070312,1040.0,789.4000244140625,862.2000122070312,2042845
2021-01-29,910.0,998.0,878.0,885.7999877929688,1432390
2021-02-01,943.4000244140625,1144.800048828125,915.5999755859375,1075.800048828125,2903910
2021-02-02,1171.800048828125,1172.0,946.0,971.5999755859375,1974635
2021-02-03,999.5999755859375,1167.0,990.4000244140625,1142.4000244140625,2002375
2021-02-04,1140.0,1256.0,1063.4000244140625,1094.4000244140625,1622890
